iter	Logloss
0	0.6765217968
1	0.6610748681
2	0.6467561445
3	0.633614517
4	0.621370345
5	0.6098568175
6	0.5991504845
7	0.5890159881
8	0.5795556802
9	0.5708556502
10	0.5626054629
11	0.5551445524
12	0.5479416805
13	0.5410520766
14	0.5350888001
15	0.5291545409
16	0.5236796154
17	0.5187701755
18	0.5143554602
19	0.5099852954
20	0.5056722725
21	0.5015651215
22	0.4981544182
23	0.4944915495
24	0.4907672014
25	0.4874749439
26	0.4842719251
27	0.4814018294
28	0.4787257562
29	0.4761254308
30	0.4737673878
31	0.4716067911
32	0.469412876
33	0.4676069435
34	0.4659895159
35	0.4643609213
36	0.462691498
37	0.4609537298
38	0.4594861176
39	0.4581747623
40	0.456923792
41	0.4556153081
42	0.4544372336
43	0.4534251767
44	0.4523992038
45	0.4514615648
46	0.4505767667
47	0.4495115794
48	0.4487498285
49	0.448006976
50	0.4471813548
51	0.4464162791
52	0.4456047756
53	0.4450011039
54	0.4442737084
55	0.4437924025
56	0.4431183528
57	0.442416576
58	0.4419384933
59	0.4414380461
60	0.4410340503
61	0.440519965
62	0.4400857793
63	0.4395415132
64	0.4391583268
65	0.4387847668
66	0.4383168626
67	0.4379290129
68	0.4374756764
69	0.4370391015
70	0.4367362882
71	0.4365229364
72	0.4363140942
73	0.435900014
74	0.4356031763
75	0.4353356965
76	0.4350733858
77	0.4348567166
78	0.4345817053
79	0.4343276593
80	0.4341322663
81	0.4339192126
82	0.4337613704
83	0.4334915521
84	0.4332899325
85	0.433100359
86	0.4329161561
87	0.4326771833
88	0.432486701
89	0.4323061493
90	0.4321161238
91	0.4319218841
92	0.4317264198
93	0.4315300656
94	0.4313258865
95	0.4311218631
96	0.4309350633
97	0.4307805353
98	0.4306054903
99	0.4304405021
100	0.4302662499
101	0.430121099
102	0.429994686
103	0.4298802202
104	0.4297293415
105	0.4295537677
106	0.4294408769
107	0.4292872706
108	0.4291898225
109	0.4290462793
110	0.4288958099
111	0.428724663
112	0.4285987099
113	0.4284396701
114	0.4283321857
115	0.4282439331
116	0.4281369067
117	0.4280264302
118	0.4278843238
119	0.427786248
120	0.4277016852
121	0.4276076815
122	0.4274927392
123	0.4273926704
124	0.4272966253
125	0.4272297308
126	0.4271552241
127	0.4270678019
128	0.4269296377
129	0.4268355108
130	0.4267222744
131	0.4266351668
132	0.4265786459
133	0.4265053703
134	0.4264325261
135	0.4263425184
136	0.4262758599
137	0.426177556
138	0.4260575177
139	0.4259812865
140	0.4259062243
141	0.42582881
142	0.425788298
143	0.4257151251
144	0.4255713555
145	0.4254487573
146	0.4253596893
147	0.4252961002
148	0.4252146014
149	0.4251433891
150	0.4250920499
151	0.4249989654
152	0.4249196755
153	0.4248263995
154	0.4247677132
155	0.424672301
156	0.4246000065
157	0.4245409146
158	0.4244456653
159	0.4243853793
160	0.4243144187
161	0.4242664086
162	0.424206933
163	0.4241587894
164	0.4240777493
165	0.4239925949
166	0.4239427631
167	0.4238827571
168	0.4238256868
169	0.4237670286
170	0.4237309635
171	0.4236601989
172	0.423570803
173	0.4234979745
174	0.4234285538
175	0.4233435359
176	0.4232849044
177	0.423246515
178	0.423191207
179	0.4231053972
180	0.4230522314
181	0.4229782785
182	0.4229009938
183	0.4228576317
184	0.4227855936
185	0.422736118
186	0.4226946161
187	0.4225892112
188	0.4225484886
189	0.4225006636
190	0.4224413894
191	0.4223607183
192	0.4223030047
193	0.4222273311
194	0.4221686559
195	0.4221092056
196	0.4220571136
197	0.4220216805
198	0.4219810714
199	0.4219106188
200	0.4218427003
201	0.4217784263
202	0.4217194926
203	0.4216839632
204	0.4216419266
205	0.4215959271
206	0.4215347644
207	0.4214968369
208	0.4214403405
209	0.4214009977
210	0.4213577619
211	0.4213219637
212	0.4212662551
213	0.4211985493
214	0.42114665
215	0.4210635062
216	0.4209911344
217	0.4209245057
218	0.4208757664
219	0.4208469723
220	0.4207979289
221	0.4207765314
222	0.4207376143
223	0.4207093127
224	0.4206493323
225	0.4205510051
226	0.420509548
227	0.4204516157
228	0.4204004495
229	0.4203681656
230	0.4203299641
231	0.420301532
232	0.420247038
233	0.4201977013
234	0.4201478368
235	0.4201043792
236	0.4200448243
237	0.4199764322
238	0.419907688
239	0.4198731018
240	0.4198404781
241	0.419795693
242	0.4197435576
243	0.4196776063
244	0.4196386258
245	0.4195887557
246	0.4195693127
247	0.4195080307
248	0.4194751245
249	0.4194498307
250	0.4194185207
251	0.4193943702
252	0.419326085
253	0.4192717679
254	0.4192123616
255	0.4191820629
256	0.4191550073
257	0.4191112493
258	0.4190590293
259	0.419021181
260	0.4189868951
261	0.4189562234
262	0.41890953
263	0.4188494727
264	0.418819683
265	0.418780751
266	0.4187214955
267	0.418697577
268	0.4186663592
269	0.4186244848
270	0.4185691077
271	0.4185129151
272	0.4184816236
273	0.4184508012
274	0.41840331
275	0.4183624828
276	0.4182827364
277	0.4182479304
278	0.4181781045
279	0.4181242641
280	0.4180757202
281	0.4180111147
282	0.4179786885
283	0.4179353526
284	0.4178863221
285	0.4178675033
286	0.4178356439
287	0.4177981472
288	0.4177582386
289	0.4177194634
290	0.41768964
291	0.4176409233
292	0.417577168
293	0.4175241929
294	0.4174987546
295	0.4174476708
296	0.4173767451
297	0.4173448315
298	0.4173117298
299	0.4172716113
300	0.4172431572
301	0.4171803001
302	0.4171344681
303	0.417082961
304	0.4170461874
305	0.4169858864
306	0.4169298864
307	0.4168794678
308	0.4168460207
309	0.4167914494
310	0.4167246801
311	0.4166872041
312	0.4166306777
313	0.4165887606
314	0.4165355246
315	0.4164957979
316	0.4164578755
317	0.4164178
318	0.4163737267
319	0.4163274823
320	0.4162761193
321	0.4162307499
322	0.4161845151
323	0.4161450225
324	0.4161024939
325	0.4160731468
326	0.4160055911
327	0.415961694
328	0.4159257178
329	0.4158756093
330	0.4158409673
331	0.4158013546
332	0.4157687491
333	0.4157169825
334	0.4156623152
335	0.4156278134
336	0.4155876742
337	0.4155521743
338	0.4155105908
339	0.4154736999
340	0.4154321817
341	0.4153846459
342	0.4153344864
343	0.4152830152
344	0.4152393282
345	0.4151970078
346	0.4151319708
347	0.4150924146
348	0.4150512176
349	0.4150150045
350	0.4149581225
351	0.4149177178
352	0.4148722912
353	0.4148137516
354	0.4147647223
355	0.4147353842
356	0.414707487
357	0.4146642101
358	0.4146270681
359	0.4145662711
360	0.4145174082
361	0.4144748766
362	0.4144146555
363	0.414364226
364	0.4143186879
365	0.4142832701
366	0.4142577604
367	0.4141973324
368	0.4141429462
369	0.4140627865
370	0.4140252117
371	0.4139683535
372	0.413934693
373	0.4138612341
374	0.41380982
375	0.413758522
376	0.4137175607
377	0.4136708737
378	0.4136160083
379	0.4135581993
380	0.4135103227
381	0.413468064
382	0.41342917
383	0.4133905534
384	0.4133441892
385	0.4132848229
386	0.4132468573
387	0.4132135076
388	0.413169873
389	0.4131240538
390	0.4130796942
391	0.4130395328
392	0.4129807372
393	0.4129393484
394	0.4129011508
395	0.412846113
396	0.4127894275
397	0.4127493993
398	0.412696253
399	0.4126547419
400	0.4126209888
401	0.4125831746
402	0.4125313387
403	0.4124942383
404	0.4124569094
405	0.4124209352
406	0.4123699697
407	0.412332355
408	0.4122970195
409	0.4122613337
410	0.4122030267
411	0.4121554024
412	0.4121159596
413	0.4120857526
414	0.4120288348
415	0.4119771835
416	0.411923285
417	0.4118803141
418	0.4118352819
419	0.4118027632
420	0.4117511326
421	0.4117209252
422	0.4116625886
423	0.4116090192
424	0.4115538383
425	0.4115174368
426	0.4114711971
427	0.4114324368
428	0.4113849254
429	0.411346726
430	0.4113078749
431	0.411267482
432	0.4112044731
433	0.4111492436
434	0.4111063738
435	0.4110673236
436	0.4110229544
437	0.4109919869
438	0.4109636111
439	0.4109303695
440	0.4108869715
441	0.4108461616
442	0.4108062107
443	0.4107748728
444	0.4107307864
445	0.4107038586
446	0.4106598241
447	0.4106004511
448	0.4105714122
449	0.4105357359
450	0.410500186
451	0.4104671027
452	0.4104085727
453	0.4103793467
454	0.4103463475
455	0.410307204
456	0.4102670563
457	0.4102110008
458	0.4101579577
459	0.4101061788
460	0.4100593583
461	0.4099966352
462	0.4099440974
463	0.4099103731
464	0.4098799312
465	0.4098439492
466	0.4098055873
467	0.4097691729
468	0.4097336965
469	0.409701535
470	0.4096584545
471	0.4096330646
472	0.4096080797
473	0.4095707564
474	0.4095300389
475	0.4094944347
476	0.4094651333
477	0.4094113561
478	0.4093810433
479	0.4093351282
480	0.4092916441
481	0.409259097
482	0.4092097694
483	0.4091684518
484	0.4091357433
485	0.4090915033
486	0.4090457644
487	0.4090161027
488	0.4089818183
489	0.4089487172
490	0.4089183617
491	0.4088694631
492	0.4088207308
493	0.4087891801
494	0.408760056
495	0.4087372074
496	0.4087000281
497	0.4086747538
498	0.4086402968
499	0.4086128892
500	0.408563425
501	0.4085257677
502	0.4084918802
503	0.4084369045
504	0.4084057911
505	0.4083619523
506	0.4083294887
507	0.4082899981
508	0.4082435306
509	0.4082147819
510	0.4081808406
511	0.4081532054
512	0.4081272093
513	0.4080754567
514	0.4080497315
515	0.4080109786
516	0.4079791916
517	0.4079456812
518	0.4079123864
519	0.4078789417
520	0.4078396082
521	0.4078117969
522	0.4077678641
523	0.4077347577
524	0.4076903762
525	0.4076585244
526	0.4076235992
527	0.4075862237
528	0.4075531894
529	0.4075215319
530	0.4074834296
531	0.4074444914
532	0.4074011717
533	0.4073799876
534	0.4073439698
535	0.4073100648
536	0.4072704172
537	0.4072119458
538	0.4071900176
539	0.4071502208
540	0.4071193989
541	0.4070712639
542	0.4070456459
543	0.4070143601
544	0.4069718786
545	0.4069397215
546	0.4069088777
547	0.4068748188
548	0.4068482596
549	0.4068284405
550	0.4068016244
551	0.4067478428
552	0.4067193289
553	0.4066782774
554	0.406637774
555	0.4066085948
556	0.4065699631
557	0.4065190925
558	0.4064871514
559	0.4064565505
560	0.4064224603
561	0.4063998499
562	0.4063776823
563	0.4063492901
564	0.4063256471
565	0.4062860216
